Step	Loss	Loss per Cell	 Change 
403	4643234816.000000	67051.289062	93.406250
404	4636786176.000000	66958.171875	93.117188
405	4630350848.000000	66865.234375	92.937500
406	4623927808.000000	66772.484375	92.750000
407	4617526784.000000	66680.046875	92.437500
408	4611125760.000000	66587.617188	92.429688
409	4604738560.000000	66495.382812	92.234375
410	4598365696.000000	66403.351562	92.031250
411	4591997952.000000	66311.398438	91.953125
412	4585641472.000000	66219.609375	91.789062
413	4579305984.000000	66128.117188	91.492188
414	4572972544.000000	66036.656250	91.460938
415	4566660096.000000	65945.500000	91.156250
416	4560351232.000000	65854.398438	91.101562
417	4554064896.000000	65763.617188	90.781250
418	4547778560.000000	65672.843750	90.773438
419	4541496320.000000	65582.125000	90.718750
420	4535246848.000000	65491.875000	90.250000
421	4528982528.000000	65401.414062	90.460938
422	4522739200.000000	65311.257812	90.156250
423	4516497920.000000	65221.128906	90.128906
424	4510266368.000000	65131.140625	89.988281
425	4504055296.000000	65041.449219	89.691406
426	4497858560.000000	64951.964844	89.484375
427	4491675136.000000	64862.671875	89.292969
428	4485490688.000000	64773.363281	89.308594
429	4479315968.000000	64684.195312	89.167969
430	4473156608.000000	64595.253906	88.941406
431	4466996224.000000	64506.292969	88.960938
432	4460862464.000000	64417.714844	88.578125
433	4454731264.000000	64329.179688	88.535156
434	4448605184.000000	64240.714844	88.464844
435	4442497536.000000	64152.515625	88.199219
436	4436397056.000000	64064.421875	88.093750
437	4430312960.000000	63976.562500	87.859375
438	4424225280.000000	63888.652344	87.910156
439	4418142720.000000	63800.816406	87.835938
440	4412073472.000000	63713.171875	87.644531
441	4406021120.000000	63625.773438	87.398438
442	4399975936.000000	63538.476562	87.296875
443	4393922560.000000	63451.062500	87.414062
444	4387880448.000000	63363.808594	87.253906
445	4381863424.000000	63276.917969	86.890625
446	4375862272.000000	63190.257812	86.660156
447	4369870848.000000	63103.738281	86.519531
448	4363871232.000000	63017.101562	86.636719
449	4357876736.000000	62930.535156	86.566406
450	4351896064.000000	62844.171875	86.363281
451	4345929728.000000	62758.015625	86.156250
452	4339968512.000000	62671.929688	86.085938
453	4334017024.000000	62585.988281	85.941406
454	4328069120.000000	62500.093750	85.894531
455	4322138112.000000	62414.449219	85.644531
456	4316216832.000000	62328.941406	85.507812
457	4310311936.000000	62243.671875	85.269531
458	4304395776.000000	62158.238281	85.433594
459	4298487296.000000	62072.914062	85.324219
460	4292593920.000000	61987.812500	85.101562
461	4286702592.000000	61902.738281	85.074219
462	4280829440.000000	61817.925781	84.812500
463	4274952704.000000	61733.058594	84.867188
464	4269080576.000000	61648.261719	84.796875
465	4263228928.000000	61563.761719	84.500000
466	4257389312.000000	61479.433594	84.328125
467	4251556864.000000	61395.210938	84.222656
468	4245734144.000000	61311.125000	84.085938
469	4239905280.000000	61226.953125	84.171875
470	4234084864.000000	61142.902344	84.050781
471	4228284160.000000	61059.136719	83.765625
472	4222484736.000000	60975.390625	83.746094
473	4216702976.000000	60891.898438	83.492188
474	4210914304.000000	60808.304688	83.593750
475	4205138944.000000	60724.906250	83.398438
476	4199382784.000000	60641.781250	83.125000
477	4193624832.000000	60558.632812	83.148438
478	4187878400.000000	60475.652344	82.980469
479	4182125568.000000	60392.578125	83.074219
480	4176393216.000000	60309.796875	82.781250
481	4170658304.000000	60226.980469	82.816406
482	4164941824.000000	60144.433594	82.546875
483	4159227648.000000	60061.917969	82.515625
484	4153508608.000000	59979.328125	82.589844
485	4147809024.000000	59897.023438	82.304688
486	4142114560.000000	59814.792969	82.230469
487	4136434432.000000	59732.769531	82.023438
488	4130767616.000000	59650.933594	81.835938
489	4125089536.000000	59568.941406	81.992188
490	4119424768.000000	59487.136719	81.804688
491	4113766656.000000	59405.429688	81.707031
492	4108122880.000000	59323.929688	81.500000
493	4102484992.000000	59242.515625	81.414062
494	4096838912.000000	59160.984375	81.531250
495	4091213568.000000	59079.750000	81.234375
496	4085595904.000000	58998.625000	81.125000
497	4079982080.000000	58917.558594	81.066406
498	4074369536.000000	58836.511719	81.046875
499	4068765696.000000	58755.585938	80.925781
500	4063173632.000000	58674.835938	80.750000
501	4057580288.000000	58594.062500	80.773438
502	4052001792.000000	58513.507812	80.554688
503	4046423552.000000	58432.953125	80.554688
504	4040850176.000000	58352.468750	80.484375
505	4035279104.000000	58272.019531	80.449219
506	4029726464.000000	58191.835938	80.183594
507	4024183296.000000	58111.789062	80.046875
508	4018641152.000000	58031.757812	80.031250
509	4013101312.000000	57951.757812	80.000000
510	4007574016.000000	57871.941406	79.816406
511	4002051328.000000	57792.191406	79.750000
512	3996536576.000000	57712.554688	79.636719
513	3991028480.000000	57633.011719	79.542969
514	3985522944.000000	57553.507812	79.503906
515	3980025600.000000	57474.125000	79.382812
516	3974532352.000000	57394.796875	79.328125
517	3969051904.000000	57315.656250	79.140625
518	3963572992.000000	57236.539062	79.117188
519	3958104832.000000	57157.574219	78.964844
520	3952633344.000000	57078.562500	79.011719
521	3947165440.000000	56999.601562	78.960938
522	3941721088.000000	56920.980469	78.621094
523	3936271360.000000	56842.285156	78.695312
524	3930823936.000000	56763.621094	78.664062
525	3925389824.000000	56685.148438	78.472656
526	3919956992.000000	56606.695312	78.453125
527	3914546944.000000	56528.570312	78.125000
528	3909133568.000000	56450.398438	78.171875
529	3903723264.000000	56372.269531	78.128906
530	3898310912.000000	56294.109375	78.160156
531	3892905984.000000	56216.062500	78.046875
532	3887525376.000000	56138.359375	77.703125
533	3882136064.000000	56060.535156	77.824219
534	3876752896.000000	55982.800781	77.734375
535	3871383808.000000	55905.265625	77.535156
536	3866007296.000000	55827.625000	77.640625
537	3860651776.000000	55750.289062	77.335938
538	3855300096.000000	55673.007812	77.281250
539	3849941504.000000	55595.625000	77.382812
540	3844598016.000000	55518.460938	77.164062
541	3839252480.000000	55441.269531	77.191406
542	3833924352.000000	55364.328125	76.941406
543	3828592128.000000	55287.328125	77.000000
544	3823259904.000000	55210.328125	77.000000
545	3817956608.000000	55133.742188	76.585938
546	3812649728.000000	55057.109375	76.632812
547	3807347712.000000	54980.542969	76.566406
548	3802057216.000000	54904.144531	76.398438
549	3796759296.000000	54827.640625	76.503906
550	3791483392.000000	54751.453125	76.187500
551	3786197504.000000	54675.121094	76.332031
552	3780923904.000000	54598.968750	76.152344
553	3775663104.000000	54523.000000	75.968750
554	3770391552.000000	54446.875000	76.125000
555	3765144320.000000	54371.101562	75.773438
556	3759904768.000000	54295.437500	75.664062
557	3754657280.000000	54219.660156	75.777344
558	3749422080.000000	54144.062500	75.597656
559	3744190464.000000	54068.511719	75.550781
560	3738965504.000000	53993.062500	75.449219
561	3733742592.000000	53917.640625	75.421875
562	3728527360.000000	53842.328125	75.312500
563	3723317760.000000	53767.097656	75.230469
564	3718113536.000000	53691.945312	75.152344
565	3712917504.000000	53616.910156	75.035156
566	3707734528.000000	53542.066406	74.843750
567	3702550272.000000	53467.203125	74.863281
568	3697367040.000000	53392.351562	74.851562
569	3692199168.000000	53317.726562	74.625000
570	3687027712.000000	53243.046875	74.679688
571	3681870336.000000	53168.570312	74.476562
572	3676716032.000000	53094.140625	74.429688
573	3671560704.000000	53019.691406	74.449219
574	3666421504.000000	52945.480469	74.210938
575	3661280768.000000	52871.242188	74.238281
576	3656151552.000000	52797.175781	74.066406
577	3651027456.000000	52723.179688	73.996094
578	3645897984.000000	52649.105469	74.074219
579	3640782848.000000	52575.242188	73.863281
580	3635675392.000000	52501.484375	73.757812
581	3630567424.000000	52427.722656	73.761719
582	3625470464.000000	52354.121094	73.601562
583	3620375040.000000	52280.539062	73.582031
584	3615284224.000000	52207.023438	73.515625
585	3610200832.000000	52133.617188	73.406250
586	3605125376.000000	52060.324219	73.292969
587	3600062976.000000	51987.218750	73.105469
588	3594995200.000000	51914.039062	73.179688
589	3589938176.000000	51841.011719	73.027344
590	3584888320.000000	51768.089844	72.921875
591	3579842560.000000	51695.222656	72.867188
592	3574795520.000000	51622.339844	72.882812
593	3569761536.000000	51549.648438	72.691406
594	3564730880.000000	51477.000000	72.648438
595	3559708160.000000	51404.468750	72.531250
596	3554689792.000000	51332.000000	72.468750
597	3549673984.000000	51259.570312	72.429688
598	3544670208.000000	51187.312500	72.257812
599	3539667456.000000	51115.070312	72.242188
600	3534672384.000000	51042.937500	72.132812
601	3529683200.000000	50970.890625	72.046875
602	3524686336.000000	50898.734375	72.156250
603	3519713024.000000	50826.914062	71.820312
604	3514733824.000000	50755.011719	71.902344
605	3509766912.000000	50683.285156	71.726562
606	3504805120.000000	50611.636719	71.648438
607	3499853568.000000	50540.132812	71.503906
608	3494911488.000000	50468.765625	71.367188
609	3489966848.000000	50397.359375	71.406250
